"response_id","experienced_maori","travelled_with_child_under_15","travelled_with_other_above_15","drive_yourself","qtr","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","no_days_in_nz","age_range","treated_spend","visited_island","spend_per_day"
"GEN24_1012716","No","No","Yes","Yes","1","Americas","Female","Yes","Holiday / vacation",8,32,4247.821533,"North",530.977691625
"GEN24_1012727","No","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",38,67,2974.9846,"South",78.2890684210526
"GEN24_1012736","Yes","No","Yes","No","1","Oceania","Female","No","Holiday / vacation",15,72,6012.246783,"North",400.8164522
"GEN24_1012737","No","No","No","Yes","1","Oceania","Female","No","Visiting friends / relatives",18,62,1602.034867,"North",89.0019370555556
"GEN24_1012739","Yes","Yes","Yes","Yes","1","Europe","Male","Yes","Visiting friends / relatives",15,52,3700.568838,"North",246.7045892
"GEN24_1012743","No","No","Yes","Yes","1","Europe","Male","Yes","Holiday / vacation",19,32,4950,"North",260.526315789474
"GEN24_1012751","Yes","Yes","Yes","Yes","1","Asia","Male","Yes","Holiday / vacation",20,37,9339.067147,"Both",466.95335735
"GEN24_1012756","No","No","Yes","Yes","1","Europe","Male","Yes","Holiday / vacation",15,32,7157.6792,"Both",477.178613333333
"GEN24_1012765","No","No","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",33,67,6191.837867,"South",187.631450515152
"GEN24_1012769","No","No","Yes","No","1","Europe","Male","No","Visiting friends / relatives",21,42,1480.23624,"Both",70.48744
"GEN24_1012772","No","Yes","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",16,37,2100,"South",131.25
"GEN24_1012774","Yes","No","No","Yes","1","Europe","Female","Yes","Visiting friends / relatives",29,62,8513.777067,"Both",293.578519551724
"GEN24_1012777","Yes","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",17,62,2726.734933,"North",160.396172529412
"GEN24_1012783","No","No","No","Yes","1","Europe","Male","No","Visiting friends / relatives",26,27,1850,"Both",71.1538461538462
"GEN24_1012786","No","No","No","Yes","1","Europe","Female","No","Visiting friends / relatives",27,42,2031.6968,"South",75.2480296296296
"GEN24_1012788","No","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",14,62,1576.983707,"North",112.641693357143
"GEN24_1012793","No","No","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",15,42,4343.961253,"South",289.597416866667
